player_id,season,week,position,fantasy_ppr
00-0028845,2019,10,LS,0.0
00-0036425,2025,16,RB,0.0
00-0036302,2025,16,SAF,0.0
00-0036321,2025,16,DE,0.0
00-0036421,2025,16,SAF,0.0
00-0036369,2025,16,G,0.0
00-0036427,2025,16,WR,1.7000000000000002
00-0036411,2025,16,SAF,0.0
00-0028278,2019,10,ILB,0.0
00-0028872,2019,10,P,-2.0
00-0028660,2019,10,K,0.0
00-0028903,2019,10,TE,0.0
00-0028092,2019,10,CB,0.0
00-0036441,2025,16,LB,0.0
00-0028908,2019,10,DB,0.0
00-0037332,2022,5,SAF,0.0
00-0035670,2022,5,LB,0.0
00-0036620,2025,16,WR,0.0
00-0038097,2022,5,K,0.0
00-0033536,2022,5,WR,23.4
00-0029261,2019,10,CB,0.0
00-0036660,2025,16,G,0.0
00-0036637,2025,16,TE,0.0
00-0036621,2025,16,LB,0.0
00-0036587,2025,16,SAF,0.0
00-0036500,2025,16,LB,0.0
00-0036628,2025,16,TE,0.0
00-0036534,2025,16,TE,5.0
00-0036624,2025,16,DT,0.0
00-0036568,2025,16,DT,0.0
00-0036672,2025,16,LB,0.0
00-0029249,2019,10,LB,0.0
00-0029263,2019,10,QB,16.58
00-0029255,2019,10,MLB,0.0
00-0033699,2022,5,RB,35.900000000000006
00-0034798,2022,5,TE,7.9
00-0036874,2025,16,CB,0.0
00-0034418,2022,5,WR,4.0
00-0037348,2022,5,TE,0.0
00-0034286,2022,5,WR,3.6
00-0036914,2025,16,LB,0.0
00-0035359,2022,5,WR,3.2
00-0029421,2019,10,K,0.0
00-0036883,2025,16,DT,0.0
00-0036937,2025,16,CB,0.0
00-0036875,2025,16,RB,17.8
00-0036813,2025,16,LB,0.0
00-0036741,2025,16,TE,1.4
00-0036927,2025,16,LB,0.0
00-0029572,2019,10,WR,3.1
00-0029409,2019,10,LB,0.0
00-0029329,2019,10,CB,0.0
00-0034974,2022,5,SAF,0.0
00-0035708,2022,5,LB,0.0
00-0038123,2022,5,SAF,0.0
00-0030092,2022,5,P,0.0
00-0037759,2022,5,DE,0.0
00-0034720,2022,5,LB,0.0
00-0029665,2019,10,QB,-0.29999999999999993
00-0029597,2019,10,K,0.0
00-0037034,2025,16,CB,0.0
00-0036997,2025,16,RB,6.3
00-0036942,2025,16,DT,0.0
00-0036940,2025,16,LB,0.0
00-0036981,2025,16,DT,0.0
00-0036987,2025,16,CB,0.0
00-0037002,2025,16,G,0.0
00-0037073,2025,16,DT,0.0
00-0036963,2025,16,WR,9.4
00-0036964,2025,16,LB,0.0
00-0037005,2025,16,TE,1.6
00-0029670,2019,10,ILB,0.0
00-0029630,2019,10,DT,0.0
00-0031136,2022,5,K,0.0
00-0029681,2019,10,CB,0.0
00-0030694,2022,5,G,0.0
00-0036040,2022,5,TE,2.3
00-0037239,2022,5,WR,15.4
00-0036619,2022,5,OT,0.0
00-0036627,2022,5,WR,0.0
00-0029709,2019,10,OT,0.0
00-0037197,2025,16,RB,13.5
00-0037193,2025,16,SAF,0.0
00-0037195,2025,16,CB,0.0
00-0037192,2025,16,DE,0.0
00-0037208,2025,16,LB,0.0
00-0037224,2025,16,K,0.0
00-0037205,2025,16,SAF,0.0
00-0037132,2025,16,WR,0.0
00-0037179,2025,16,LB,0.0
00-0037112,2025,16,TE,1.7000000000000002
00-0037203,2025,16,DT,0.0
00-0029685,2019,10,G,0.0
00-0029678,2019,10,G,0.0
00-0029672,2019,10,OT,0.0
00-0029892,2019,10,FB,0.0
00-0036615,2022,5,CB,0.0
00-0030565,2022,6,QB,12.68
00-0032211,2022,6,WR,3.7
00-0035640,2022,6,WR,5.4
00-0029984,2019,10,P,0.0
00-0037247,2025,16,WR,26.0
00-0037241,2025,16,OT,0.0
00-0037246,2025,16,SAF,0.0
00-0037255,2025,16,G,0.0
00-0037262,2025,16,DT,0.0
00-0037253,2025,16,CB,0.0
00-0037231,2025,16,WR,3.8
00-0037239,2025,16,WR,36.8
00-0037240,2025,16,WR,12.0
00-0037236,2025,16,DE,0.0
00-0029963,2019,10,OT,0.0
00-0029901,2019,10,CB,0.0
00-0030023,2019,10,SAF,0.0
00-0030041,2019,10,DB,0.0
00-0030010,2019,10,OLB,0.0
00-0030059,2019,10,DE,0.0
00-0038134,2022,6,RB,19.0
00-0035644,2022,6,TE,10.5
00-0030068,2022,6,WR,4.6
